company_id,year,scope1,scope2,scope3,data_source,verification_status,reporting_standard,boundary_setting,method
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,2021,74500,0,0,Sustainability Report 2021,unverified,,,Not Applicable
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,2021,0,50000,0,Annual Report 2023,unverified,,,Market-based
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,2020,75700,0,0,Sustainability Report 2021,unverified,,,Not Applicable
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,2020,0,79000,0,Annual Report 2023,unverified,,,Market-based
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,2017,80000,0,0,Sustainability Report 2021,unverified,,,Not Applicable
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,2017,0,102000,0,Consolidated Non-Financial Report 2020,unverified,,,Market-based
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,2018,82000,0,0,Annual Report 2023,unverified,,,Not Applicable
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,2018,0,88000,0,Annual Report 2023,unverified,,,Market-based
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,2019,84000,0,0,Sustainability Report 2021,unverified,,,Not Applicable
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,2019,0,83000,0,Consolidated Non-Financial Report 2020,unverified,,,Market-based
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,2016,75000,0,0,Consolidated Non-Financial Report 2020,unverified,,,Not Applicable
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,2016,0,106000,0,Consolidated Non-Financial Report 2020,unverified,,,Market-based
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,2022,65000,0,0,Annual Report 2023,unverified,,,Not Applicable
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,2022,0,53000,0,Annual Report 2023,unverified,,,Market-based
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,2023,52000,0,0,Annual Report 2023,unverified,,,Not Applicable
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,2023,0,54000,0,Annual Report 2023,unverified,,,Market-based
00af8de9-72b8-40e0-8d45-6277389c57a8,2017,3272,0,0,Sustainability Report 2020,unverified,,,Not Applicable
00af8de9-72b8-40e0-8d45-6277389c57a8,2017,3272,0,0,Sustainability Report 2020,unverified,,,Not Applicable
00af8de9-72b8-40e0-8d45-6277389c57a8,2017,0,6907,0,Sustainability Report 2020,unverified,,,Not Specified
00af8de9-72b8-40e0-8d45-6277389c57a8,2017,0,6907,0,Sustainability Report 2020,unverified,,,Not Specified
00af8de9-72b8-40e0-8d45-6277389c57a8,2017,0,0,14043,Sustainability Report 2020,unverified,,,Not Specified
00af8de9-72b8-40e0-8d45-6277389c57a8,2017,0,0,8793,Sustainability Report 2020,unverified,,,Not Specified
00af8de9-72b8-40e0-8d45-6277389c57a8,2017,0,0,1909,Sustainability Report 2020,unverified,,,Not Specified
